AnimalID	MotherID	FatherID
AA5075	AA4203	AA4510
AA5076	AA4362	AA4389
AA5077	AA1506	AA2019
AA5078	AA1666	AA4538
AA5079	AA2165	AA2032
AA5080	AA4228	AA4533
AA5081	AA4156	AA4491
AA5082	AA4227	AA4316
AA5083	AA4485	AA4477
AA5084	AA4227	AA4316
AA5085	AA4205	AA1301
AA5086	AA4441	AA4141
AA5087	AA4517	AA4443
AA5088	AA4132	AA2096
AA5089	AA4227	AA4346
AA5090	AA4174	AA1219
AA5091	AA4518	AA4147
AA5092	AA4156	AA4491
AA5093	AA4174	AA1219
AA5094	AA4381	AA2237
AA5095	AA4205	AA1301
AA5096	AA4132	AA2096
AA5097	AA4490	AA4315
AA5098	AA2245	AA4440
AA5099	AA4413	AA4406
AA5100	AA4494	AA4239
AA5101	AA4405	AA4380
AA5102	AA4490	AA4315
AA5103	AA4407	AA2240
AA5104	AA2143	AA4426
AA5105	AA4228	AA4533
AA5106	AA4494	AA4239
AA5107	AA4302	AA4489
AA5108	AA4241	AA4350
AA5109	AA4413	AA4406
AA5110	AA4225	AA1627
AA5111	AA4274	AA2075
AA5112	AA4205	AA1301
AA5113	AA4225	AA1627
AA5114	AA4325	AA4180
AA5115	AA4405	AA4380
AA5116	AA4254	AA4391
AA5117	AA4241	AA4350
AA5118	AA4228	AA4533
AA5119	AA4407	AA2240
AA5120	AA4156	AA4491
AA5121	AA4383	AA4487
AA5122	AA4281	AA4346
AA5123	AA4383	AA4487
AA5124	AA4228	AA4533
AA5125	AA1527	AA4430
AA5126	AA2156	AA4384
AA5127	AA2253	AA4273
AA5128	AA4413	AA4196
AA5129	AA4191	AA4431
AA5130	AA4325	AA4180
AA5131	AA4302	AA4489
AA5132	AA4525	AA4304
AA5133	AA4405	AA4380
AA5134	AA4413	AA4406
AA5135	AA4281	AA4346
AA5136	AA4413	AA4406
AA5137	AA4493	AA4303
AA5138	AA4525	AA4304
AA5139	AA4254	AA4462
AA5140	AA4493	AA4303
AA5141	AA4490	AA4409
AA5142	AA4325	AA4180
AA5143	AA4383	AA4487
AA5144	AA4302	AA4489
AA5145	AA4142	AA4461
AA5146	AA4525	AA4304
AA5147	AA4272	AA4406
AA5148	AA4362	AA4389
AA5149	AA4302	AA4489
AA5150	AA4493	AA4303
AA5151	AA4229	AA4172
AA5152	AA4368	AA4239
AA5153	AA4493	AA4303
AA5154	AA2058	AA4480
AA5155	AA4490	AA4138
AA5156	AA4362	AA4389
AA5157	AA4493	AA4303
AA5158	AA4203	AA4510
AA5159	AA4396	AA4377
AA5160	AA1439	AA4371
AA5161	AA4173	AA1379
AA5162	AA4241	AA4350
AA5163	AA4203	AA4138
AA5164	AA4231	AA4158
AA5165	AA4173	AA1379
AA5166	AA4503	AA4473
AA5167	AA4396	AA4377
AA5168	AA4231	AA4158
AA5169	AA4231	AA4158
AA5170	AA4156	AA4346
AA5171	AA4156	AA4346
AA5172	AA4241	AA4350
AA5173	AA4474	AA4380
AA5174	AA4241	AA4350
AA5175	AA4368	AA4424
AA5176	AA4156	AA4491
AA5177	AA4517	AA4422
AA5178	AA4362	AA4389
AA5179	AA4465	AA4487
AA5180	AA4490	AA4409
AA5181	AA4467	AA4141
AA5182	AA4227	AA4346
AA5183	AA4467	AA4141
AA5184	AA4485	AA4477
AA5185	AA4385	AA4138
AA5186	AA4241	AA4350
AA5187	AA4459	AA4424
AA5188	AA4231	AA4158
AA5189	AA4503	AA4473
AA5190	AA4175	AA4448
AA5191	AA4427	AA1384
AA5192	AA4241	AA4350
AA5193	AA4227	AA4346
AA5194	AA4227	AA4346
AA5195	AA4175	AA4448
AA5196	AA4467	AA4141
AA5197	AA4517	AA4422
AA5198	AA4362	AA4389
AA5199	AA4175	AA4448
AA5200	AA4358	AA4527
AA5201	AA4479	AA4346
AA5202	AA4442	AA4346
AA5203	AA4455	AA4473
AA5204	AA4413	AA4461
AA5205	AA4494	AA4291
AA5206	AA4405	AA4380
AA5207	AA4442	AA4377
AA5208	AA4358	AA4527
AA5209	AA4361	AA4260
AA5210	AA4361	AA4260
AA5211	AA4441	AA4141
AA5212	AA4325	AA4180
AA5213	AA4345	AA4138
AA5214	AA4325	AA4487
AA5215	AA4345	AA4138
AA5216	AA4413	AA4461
AA5217	AA4405	AA4380
AA5218	AA4362	AA4389
AA5219	AA4361	AA4260
AA5220	AA4517	AA4443
AA5221	AA4455	AA4473
AA5222	AA4345	AA4206
AA5223	AA4441	AA4141
AA5224	AA4325	AA4180
AA5225	AA4455	AA4473
AA5226	AA4455	AA4473
AA5227	AA4325	AA4487
